lr-SGD,step,loss,top1,top5,epoch,val_top1
0.10000001,49,,,,,
,49,1.9478492736816406,25.78125,79.6875,0,
0.10000001,99,,,,,
,99,1.6990032196044922,32.8125,89.84375,0,
0.10000001,149,,,,,
,149,1.61273193359375,44.53125,89.84375,0,
0.10000001,199,,,,,
,199,1.5656585693359375,39.0625,89.84375,0,
0.10000001,249,,,,,
,249,1.4927887916564941,46.09375,95.3125,0,
0.10000001,299,,,,,
,299,1.5317211151123047,40.625,89.84375,0,
0.10000001,349,,,,,
,349,1.4872100353240967,45.3125,89.84375,0,
,389,,,,0,43.589744567871094
0.10000001,399,,,,,
,399,1.212807059288025,58.59375,94.53125,1,
0.10000001,449,,,,,
,449,1.2668874263763428,52.34375,94.53125,1,
0.10000001,499,,,,,
,499,1.2774709463119507,60.15625,93.75,1,
0.10000001,549,,,,,
,549,1.4103355407714844,58.59375,91.40625,1,
0.10000001,599,,,,,
,599,1.2822299003601074,57.8125,91.40625,1,
0.10000001,649,,,,,
,649,1.016178846359253,65.625,96.875,1,
0.10000001,699,,,,,
,699,1.0891101360321045,64.84375,95.3125,1,
0.10000001,749,,,,,
,749,0.8954142332077026,73.4375,98.4375,1,
,779,,,,1,60.85737228393555
0.10000001,799,,,,,
,799,1.1029436588287354,60.15625,91.40625,2,
0.10000001,849,,,,,
,849,1.0309275388717651,66.40625,96.875,2,
0.10000001,899,,,,,
,899,1.0386326313018799,62.5,96.875,2,
0.10000001,949,,,,,
,949,0.9213929176330566,70.3125,98.4375,2,
0.10000001,999,,,,,
,999,0.9489004611968994,65.625,95.3125,2,
0.10000001,1049,,,,,
,1049,0.8305892944335938,71.875,100.0,2,
0.10000001,1099,,,,,
,1099,0.7998402118682861,68.75,97.65625,2,
0.10000001,1149,,,,,
,1149,0.7465912103652954,74.21875,98.4375,2,
,1169,,,,2,64.77363586425781
0.10000001,1199,,,,,
,1199,0.8981355428695679,67.96875,96.875,3,
0.10000001,1249,,,,,
,1249,0.8084194660186768,71.875,97.65625,3,
0.10000001,1299,,,,,
,1299,0.874821126461029,71.09375,99.21875,3,
0.10000001,1349,,,,,
,1349,0.6750169396400452,77.34375,97.65625,3,
0.10000001,1399,,,,,
,1399,0.9630993604660034,65.625,95.3125,3,
0.10000001,1449,,,,,
,1449,0.9136816263198853,67.96875,96.875,3,
0.10000001,1499,,,,,
,1499,0.8423434495925903,71.875,97.65625,3,
0.10000001,1549,,,,,
,1549,0.6825001239776611,75.0,97.65625,3,
,1559,,,,3,73.07691955566406
0.10000001,1599,,,,,
,1599,0.6485342383384705,82.8125,98.4375,4,
0.10000001,1649,,,,,
,1649,0.7356023788452148,74.21875,96.875,4,
0.10000001,1699,,,,,
,1699,0.7949695587158203,74.21875,97.65625,4,
0.10000001,1749,,,,,
,1749,0.6638985872268677,76.5625,96.875,4,
0.10000001,1799,,,,,
,1799,0.7668278217315674,74.21875,99.21875,4,
0.10000001,1849,,,,,
,1849,0.6407184600830078,77.34375,98.4375,4,
0.10000001,1899,,,,,
,1899,0.8766548037528992,67.96875,98.4375,4,
0.10000001,1949,,,,,
,1949,0.6706596612930298,77.34375,97.65625,4,
,1949,,,,4,74.23878479003906
0.10000001,1999,,,,,
,1999,0.7522119879722595,74.21875,97.65625,5,
0.10000001,2049,,,,,
,2049,0.709774374961853,75.0,97.65625,5,
0.10000001,2099,,,,,
,2099,0.8184876441955566,71.09375,96.875,5,
0.10000001,2149,,,,,
,2149,0.6349523067474365,78.90625,97.65625,5,
0.10000001,2199,,,,,
,2199,0.6974425315856934,76.5625,98.4375,5,
0.10000001,2249,,,,,
,2249,0.6108227968215942,79.6875,99.21875,5,
0.10000001,2299,,,,,
,2299,0.6158881783485413,78.125,99.21875,5,
,2339,,,,5,77.1133804321289
0.10000001,2349,,,,,
,2349,0.6217367649078369,77.34375,98.4375,6,
0.10000001,2399,,,,,
,2399,0.6758852005004883,75.78125,98.4375,6,
0.10000001,2449,,,,,
,2449,0.6764835715293884,79.6875,98.4375,6,
0.10000001,2499,,,,,
,2499,0.5436049103736877,82.8125,99.21875,6,
0.10000001,2549,,,,,
,2549,0.7161184549331665,75.78125,96.09375,6,
